time,OMEGA_REF_omegaRef_grp_0_value
4.895,1.000097
4.9,1.000097
4.905,1.000097
4.91,1.000097
4.915,1.000097
4.92,1.000097
4.925,1.000097
4.93,1.000097
4.935,1.000098
4.94,1.000098
4.945,1.000098
4.95,1.000098
4.955,1.000098
4.96,1.000098
4.965,1.000098
4.97,1.000098
4.975,1.000098
4.98,1.000098
4.985,1.000098
4.99,1.000098
4.995,1.000098
5,1.000098
5,1.000098
5.005,1.000187
5.005,1.000187
5.01,1.000281
5.01,1.000281
5.015,1.000378
5.015,1.000378
5.02,1.000475
5.02,1.000475
5.025,1.000572
5.025,1.000572
5.03,1.00067
5.03,1.00067
5.035,1.000768
5.035,1.000768
5.04,1.000865
5.04,1.000865
5.045,1.000964
5.045,1.000964
5.05,1.001062
5.05,1.001062
5.055,1.001161
5.055,1.001161
5.06,1.001261
5.06,1.001261
5.065,1.001362
5.065,1.001362
5.07,1.001464
5.07,1.001464
5.075,1.001566
5.075,1.001566
5.08,1.00167
5.08,1.00167
5.085,1.001774
5.085,1.001774
5.09,1.00188
5.09,1.00188
5.095,1.001987
5.095,1.001987
5.1,1.002095
5.1,1.002095
5.105,1.0022
5.105,1.0022
5.11,1.002306
5.11,1.002306
5.115,1.002414
5.115,1.002414
5.12,1.002522
5.12,1.002522
5.125,1.002633
5.125,1.002633
5.13,1.002745
5.13,1.002745
5.135,1.002858
5.135,1.002858
5.14,1.002973
5.14,1.002973
5.145,1.00309
5.145,1.00309
5.15,1.003208
5.15,1.003208
5.155,1.003328
5.155,1.003328
5.16,1.00345
5.16,1.00345
5.165,1.003573
5.165,1.003573
5.17,1.003698
5.17,1.003698
5.175,1.003823
5.175,1.003823
5.18,1.00395
5.18,1.00395
5.185,1.004079
5.185,1.004079
5.19,1.004209
5.19,1.004209
5.195,1.00434
5.195,1.00434
5.2,1.004474
5.2,1.004474
5.205,1.004466
5.205,1.004466
5.20625,1.004464
5.20625,1.004464
5.20875,1.004459
5.20875,1.004459
5.21375,1.004451
5.21375,1.004451
5.215,1.00445
5.215,1.00445
5.2175,1.004447
5.2175,1.004447
5.2225,1.004445
5.2225,1.004445
5.2275,1.004447
5.2275,1.004447
5.2325,1.004453
5.2325,1.004453
5.2375,1.004463
5.2375,1.004463
5.2425,1.004477
5.2425,1.004477
5.2475,1.004494
5.2475,1.004494
5.2525,1.004515
5.2525,1.004515
5.2575,1.00454
5.2575,1.00454
5.2625,1.004569
5.2625,1.004569
5.2675,1.0046
5.2675,1.0046
5.2725,1.004636
5.2725,1.004636
5.2775,1.004674
5.2775,1.004674
5.2825,1.004716
5.2825,1.004716
5.2875,1.004761
5.2875,1.004761
5.2925,1.004809
5.2925,1.004809
5.2975,1.004859
5.2975,1.004859
5.3025,1.004913
5.3025,1.004913
5.3075,1.00497
5.3075,1.00497
5.3125,1.005029
5.3125,1.005029
5.3175,1.005091
5.3175,1.005091
5.3225,1.005155
5.3225,1.005155
5.3275,1.005222
5.3275,1.005222
5.3325,1.005292
5.3325,1.005292
5.3375,1.005363
5.3375,1.005363
5.3425,1.005437
5.3425,1.005437
5.3475,1.005513
5.3475,1.005513
5.3525,1.005592
5.3575,1.005672
5.3575,1.005672
5.3625,1.005755
5.3625,1.005755
5.3675,1.005839
5.3675,1.005839
5.3725,1.005926
5.3725,1.005926
5.3775,1.006014
5.3775,1.006014
5.3825,1.006104
5.3875,1.006196
5.3875,1.006196
5.3925,1.00629
5.3925,1.00629
5.3975,1.006385
5.3975,1.006385
5.4025,1.006483
5.4025,1.006483
5.4075,1.006581
5.4075,1.006581
5.4125,1.006682
5.4125,1.006682
5.4175,1.006784
5.4175,1.006784
5.4225,1.006888
5.4225,1.006888
5.4275,1.006993
5.4275,1.006993
5.4325,1.007099
5.4325,1.007099
5.4375,1.007207
5.4375,1.007207
5.4425,1.007316
5.4425,1.007316
5.4475,1.007427
5.4475,1.007427
5.4525,1.007539
5.4525,1.007539
5.4575,1.007652
5.4575,1.007652
5.4625,1.007766
5.4625,1.007766
5.4675,1.007881
5.4725,1.007998
5.4725,1.007998
5.4775,1.008115
5.4775,1.008115
5.4825,1.008234
5.4825,1.008234
5.4875,1.008353
5.4875,1.008353
5.4925,1.008474
5.4925,1.008474
5.4975,1.008595
5.4975,1.008595
5.5025,1.008717
5.5075,1.00884
5.5075,1.00884
5.5125,1.008963
5.5125,1.008963
5.5175,1.009088
5.5175,1.009088
5.5225,1.009213
5.5225,1.009213
5.5275,1.009338
5.5325,1.009464
5.5325,1.009464
5.5375,1.009591
5.5425,1.009718
