x   sigma   coverage    SE
16400   1.45338367737434        1.170424145756665       1.8660698793529622
16600   1.4412605544552917      1.1563187948791922      1.8477838459137048
16800   1.5160078693463148      1.1424914838239668      1.898306258360395
17000   1.5029288193663126      1.1290519690000538      1.8797748228936138
17200   1.5609666242160363      1.115880248786391       1.9188031508072907
17400   1.5436966773114427      1.1030634789188651      1.8973003109858435
17600   1.529063287725628       1.0905273588036584      1.878106615229708
17800   1.5141233835798067      1.078277702655618       1.8588309295757481
18000   1.5681898253853395      1.0662494201694337      1.8963404637495227
18200   1.5517813333147954      1.0545403875844734      1.8761878198813293
18400   1.5352815947387954      1.0430872031690992      1.8561035770017882
18600   1.5189134863685825      1.0318863053890936      1.8362700036546684
18800   1.5040865531330825      1.0209110272491382      1.8178381899593394
19000   1.4902690741404974      1.0101705507102459      1.8003739763898545
19200   1.4750865874411119      0.9996594039538049      1.781908910231368
19400   1.4603173444688629      0.98936550166008        1.7639078327485518
19600   1.4488959049382257      0.9792640375652572      1.7487874080674783
19800   1.435819790665027       0.9693757943992568      1.7324167806946895
20000   1.4246912465081132      0.9596812652075312      1.7177698561411447
20200   1.4108335069587958      0.9501882407599294      1.700972920782722
20400   1.3971077163737258      0.9408834419765668      1.6843905789740925
20600   1.3858622462052796      0.931747450731081       1.669960322103795
20800   1.3735620128771435      0.9227927633663477      1.6547565039426224
21000   1.363470642886245       0.9140025778726416      1.6414788778325675
21200   1.3511938171827642      0.9053877063432145      1.6264844390249653
21400   1.3432759859139873      0.8969214333923624      1.6151960970767
21600   1.366276949954628       0.8885973480562501      1.6298214475671624
21800   1.353975918017678       0.8804550092507851      1.615070218252635
22000   1.3419006288990951      0.8724608118383687      1.6005890059704435
22200   1.3438174342721858      0.8645881914030268      1.5979230386246508
22400   1.331923335776644       0.8568781369820245      1.583748690299117
22600   1.3214164058432802      0.8492972097884439      1.57081095876818
22800   1.3101402937664635      0.8418522115590934      1.5572998219538239
23000   1.2989449576942442      0.8345380034109229      1.5439273565347533
23200   1.2897246233861037      0.8273414120224319      1.5322804626489561
23400   1.2809601520349203      0.8202691263138554      1.5210852542461326
23600   1.2703395304257312      0.8133262440480861      1.5083971963046185
23800   1.260215032946323       0.8064978390474485      1.4961887226055766
24000   1.2687068554991274      0.7997645096937107      1.4997467640092128
24200   1.35356364677248        0.7931189573215444      1.568812361733177
24400   1.3435518814245495      0.7866198563827498      1.5568887103884672
24600   1.3327072791835697      0.7802332018851873      1.5443032543230895
24800   1.3219831612760613      0.7739507121369439      1.5318744020038755
25000   1.3127897641066084      0.7677635706510934      1.5208148687996186
25200   1.3025150080492032      0.7616774595736132      1.5088730558320436
25400   1.2923043466067836      0.7556881414273515      1.497035434234177
25600   1.2874587820431083      0.749775722364308       1.4898703800354056
25800   1.2914524804404421      0.743953306902693       1.4904080085960432
26000   1.281710473640941       0.7382359637968671      1.479112597635479
26200   1.2729484287386459      0.7326015644462329      1.4687078519764425
26400   1.2649197427123033      0.7270533720920307      1.4589820291469504
26600   1.2555288547138996      0.7215933086399292      1.4481193348937498
26800   1.2479042137228553      0.7162073356161717      1.4388251715262954
27000   1.2550633579910493      0.7108894364359062      1.4424104212768047
27200   1.2459711932900739      0.7056681719701822      1.43192590012208
27400   1.2371322393076587      0.7005218732886745      1.4216986574131159
27600   1.2282409013361861      0.695452517505297       1.4114637493820317
27800   1.2204798198860183      0.6904499149133099      1.4022453693105228
28000   1.215196650137753       0.6855126089214962      1.3952169850945666
28200   1.2079939474631516      0.6806502183084329      1.3865547579489692
28400   1.200199512500983       0.6758568406028947      1.3774111001430633
28600   1.19769331495211        0.6711264605545484      1.3729093206535712
28800   1.1894520298203193      0.66647187112001        1.3634444932735197
29000   1.1837686527150795      0.6618740575997355      1.3562394667883737
29200   1.1758052332940596      0.6573459391489807      1.3470789250661421
29400   1.1678553715739517      0.65288039099138        1.3379607519860925
29600   1.1600227679257942      0.648474461544582       1.3289740213344114
29800   1.1522782365241973      0.6441279610628703      1.320093165117646
30000   1.1447950933109612      0.6398384738094981      1.3114682909760802
30200   1.1372531243026707      0.635606657313244       1.3028202069192438
30400   1.1496833756546812      0.6314116078776002      1.311660200974063
30600   1.1443139410913254      0.6272859572506625      1.3049682248774648
30800   1.1371803339525244      0.6232155977586632      1.2967562582143426
31000   1.1528887240138792      0.6191744381171905      1.308636463948674
31200   1.1468202013831128      0.6152066789243451      1.3014130136484443
31400   1.1642975816037344      0.6112753390200603      1.3150081363331538
31600   1.1575023030084592      0.6074072980573791      1.3071936379906586
31800   1.150667597146753       0.6035897600380307      1.2993677376117392
32000   1.1438858693422074      0.5998199217267928      1.291610940098106
32200   1.1368656633859109      0.5960987862471974      1.283665571537723
32400   1.1298903472462367      0.5924237859702008      1.2757813836952974
32600   1.1233331018700923      0.5887923228002094      1.268287687059032
32800   1.1179022037259017      0.5851974534386687      1.2618087797310376
33000   1.1114678199647476      0.5816525649494262      1.2544641968304377
33200   1.1319133754109545      0.5781298297628067      1.2710082570525623
33400   1.1255454587101268      0.5746698148080079      1.2637634176041257
33600   1.1189370884126892      0.571253239531566       1.256324190446389
33800   1.163882697795331       0.5678421041475146      1.2950164437064167
34000   1.1579119934952542      0.5645023721015447      1.288185977562411
34200   1.2269600346716107      0.5611770906882605      1.3492037110068666
34400   1.2198413939493913      0.5579197299069927      1.3413752090343274
34600   1.2129218429222968      0.5546983866247709      1.3337427402472128
34800   1.2062096817228554      0.5515135185679847      1.3263140493281336
35000   1.1996263061784829      0.5483645461513956      1.3190174183653744
35200   1.193264382642094       0.5452503760941428      1.3119366827377843
35400   1.18676366283573        0.5421718984317097      1.3047445569445089
35600   1.1803127994617224      0.539129389380593       1.2976127323154083
35800   1.1762273738371922      0.5361148857136961      1.2926445782378648
36000   1.1913512304831608      0.5331233958849853      1.3051966555326748
36200   1.1860471200443043      0.5301759061567295      1.2991513624033568
36400   1.181027310494919       0.5272613329879479      1.2933793029885277
36600   1.1757637261715255      0.5243807431413036      1.2873987352635452
36800   1.169402038135719       0.5215351071966532      1.2804296133855224
37000   1.16427799872833        0.5187166899544197      1.2746020017088138
37200   1.1582008730119304      0.5159293748022556      1.2679165516821067
37400   1.1520517012477713      0.5131740019084288      1.2611782897681818
37600   1.1566591377472377      0.5104342250249371      1.2642798183198969
37800   1.1507498071538664      0.507735535281834       1.257783960961735
38000   1.1447295275580929      0.5050669698436062      1.2511987593066007
38200   1.1395792768274375      0.5024221449023272      1.2454191823891265
38400   1.133706500253767       0.4998088556929017      1.2389912513600296
38600   1.1278446194689584      0.49722339263770327     1.2325845155003479
38800   1.1220430447162757      0.49466454055989073     1.2262436959607572
39000   1.1169559655965708      0.49212829183711215     1.2205658051527914
39200   1.1119528307677995      0.4896174649726759      1.214975044953102
39400   1.1063585481467735      0.4871352899827381      1.2088548414942146
39600   1.1008306185254886      0.48467794337905745     1.2028053705738775
39800   1.0958726931605776      0.48224435929230813     1.1972871759457988
40000   1.0906537396084606      0.4798348321024932      1.1915397793698486
40200   1.086314572230647       0.4774483527983445      1.1866070450787432
40400   1.081043758847558       0.4750875639984931      1.1808318263026618
40600   1.0762935344531506      0.47274805231864436     1.1755417871248672
40800   1.0713334178151666      0.47043096029390474     1.1700686221459713
41000   1.0672198640082269      0.4681351826303732      1.1653792461469832
41200   1.0635225346707153      0.4658617738710497      1.1610802616988647
41400   1.0589555637827857      0.4636117839969263      1.1559942786741335
41600   1.0542384341499587      0.46138464301457655     1.1507799376286696
41800   1.0551013669654157      0.45917456917064153     1.1506868294828672
42000   1.050211906727366       0.45698982281152317     1.1453317192784094
42200   1.0453093445373065      0.4548261586220268      1.1399730086032223
42400   1.04110809264092        0.4526787428094018      1.1352638921210851
42600   1.0362794321845161      0.4505559997565753      1.129989278924942
42800   1.0319324402621537      0.4484508761534903      1.1251634323902624
43000   1.0272464624219597      0.44636623404180437     1.1200348697478546
43200   1.0229254984247718      0.4443002277544146      1.1152485228460034
43400   1.0183953281812634      0.4422543602428314      1.1102783270942558
43600   1.0137494126140227      0.440228560532872       1.1052099606337797
43800   1.0091997810553088      0.43822043402902516     1.100236950335095
44000   1.004787253223945       0.43623002392920535     1.0953967582655133
44200   1.0010041453304461      0.4342563089312811      1.0911406145934432
44400   0.9968614103261597      0.43230094151573706     1.086561905936727
44600   0.9927961513004318      0.43036340396589895     1.0820613926714442
44800   0.9895128871738208      0.42844103592306737     1.0782845056597548
45000   0.9851531118861222      0.42653920365311754     1.0735279903719075
45200   0.9816626640321023      0.42465085867519553     1.0695746527139587
45400   0.9773698037519147      0.42278244155505        1.0648928237965103
45600   0.9731622958808978      0.42093019219869        1.06029575158472
45800   0.9689560650717288      0.4190941452598007      1.0557062842620248
46000   0.9647647692345519      0.41727439743871336     1.0511369952171026
46200   0.9606046031695319      0.41547058718233965     1.0466026048334354
46400   0.9564841489815028      0.4136822638992795      1.0421108111509556
46600   0.9527611387118918      0.4119074377731272      1.0379891737067413
46800   0.9488919798859794      0.41014812486766317     1.0337395580243576
47000   0.9453891603050072      0.40840358071492683     1.0298320975591022
47200   0.9414982547823719      0.40667465314362816     1.0255745888367858
47400   0.937547021094457       0.4049609329613056      1.0212677288487977
47600   0.9337125410105189      0.4032606203406871      1.0170733686209052
47800   0.944284349012334       0.40156579549760935     1.0261228093670247
48000   0.9403681646954078      0.39989483798821607     1.0218650432528904
48200   0.9365998291640926      0.39823672700144114     1.017748363164013
48400   0.9329118592862238      0.39659170135920563     1.013710764855473
48600   0.9293359393635419      0.39496022071373865     1.0097815922955626
