time,_BUS___13-BUS___14-1_AC_side1_Distance_distance_UMonitoredPu,_BUS___13-BUS___14-1_AC_side1_Distance_distance_PMonitoredPu,_BUS___13-BUS___14-1_AC_side1_Distance_distance_QMonitoredPu,R,X
5.012644,0.290445,0.526266,-1.546909,0.0166280313150809,-0.0488765211767063
5.012669,0.29043,0.526349,-1.546861,0.016629316842907,-0.0488710754289188
5.012718,0.290399,0.526515,-1.546765,0.0166317718280003,-0.0488598473956809
5.012818,0.290337,0.526848,-1.546575,0.0166366619739261,-0.0488373221352738
5.013017,0.290214,0.527514,-1.546195,0.0166465316937588,-0.0487926084847633
5.013416,0.289968,0.528847,-1.545439,0.0166661183179988,-0.0487030638866246
5.014213,0.289484,0.531518,-1.54394,0.0167056841412706,-0.0485262474141483
5.015682,0.28861,0.536446,-1.541221,0.0167785851788702,-0.0482052393492794
5.015682,0.28861,0.536446,-1.541221,0.0167785851788702,-0.0482052393492794
5.015697,0.288601,0.536498,-1.541193,0.0167793573281483,-0.0482019095292822
5.015713,0.288592,0.53655,-1.541165,0.0167801292809306,-0.048198579709711
5.015744,0.288574,0.536654,-1.541108,0.0167816920204026,-0.0481919445791488
5.015805,0.288537,0.536861,-1.540995,0.0167846548838762,-0.0481783352725916
5.015929,0.288465,0.537277,-1.540769,0.0167908528252513,-0.0481517457786388
5.016177,0.288321,0.538109,-1.540317,0.0168032110426731,-0.0480985666911669
5.016671,0.288035,0.539772,-1.539417,0.0168279082335543,-0.0479927969757109
5.017661,0.28747,0.5431,-1.537629,0.016877338838082,-0.047783254723368
5.01964,0.28637,0.549754,-1.534093,0.0169765407285863,-0.0473731747216739
5.021612,0.285313,0.556372,-1.53062,0.0170756789858676,-0.0469764398088845
5.021612,0.285313,0.556368,-1.530623,0.0170755257523384,-0.0469764480588773
5.021632,0.285302,0.556442,-1.530584,0.0170767185467437,-0.0469722849464079
5.021653,0.285291,0.556512,-1.530547,0.0170777774826915,-0.0469681535938148
5.021695,0.285269,0.556652,-1.530474,0.0170798746433947,-0.0469598673228065
5.021779,0.285225,0.556933,-1.530328,0.0170840884562167,-0.0469432748984622
5.021946,0.285137,0.557493,-1.530036,0.0170924530181041,-0.046910128819569
5.02228,0.284963,0.558613,-1.529454,0.0171093186633517,-0.0468444448427407
5.02245,0.284874,0.559185,-1.529157,0.0171178784846326,-0.0468108474117247
5.02245,0.284874,0.559185,-1.529157,0.0171178784846326,-0.0468108474117247
5.022472,0.284863,0.559257,-1.529119,0.0171189909011976,-0.0468066993311632
5.022494,0.284852,0.55933,-1.529082,0.0171201066065502,-0.0468025080903171
5.022537,0.284829,0.559474,-1.529007,0.017122189725315,-0.0467938598493134
5.022623,0.284784,0.559764,-1.528857,0.0171265186643175,-0.0467768522905589
5.022796,0.284695,0.560343,-1.528556,0.0171352762683847,-0.0467432079131837
5.023142,0.284517,0.5615,-1.527957,0.0171526413308914,-0.0466758653428758
5.023833,0.284165,0.563814,-1.526762,0.0171875256975635,-0.0465424077959459
5.02461,0.283773,0.566414,-1.525423,0.0172266472765833,-0.0463934930432289
5.02461,0.283773,0.566414,-1.525423,0.0172266472765833,-0.0463934930432289
5.024634,0.283761,0.566492,-1.525383,0.0172277814726568,-0.0463889428025563
5.024657,0.28375,0.566571,-1.525343,0.0172290597316046,-0.0463846996372652
5.024704,0.283726,0.566727,-1.525263,0.0172313260884104,-0.0463755990513724
5.024798,0.283679,0.56704,-1.525102,0.017236018260369,-0.0463577277104354
5.024985,0.283586,0.567665,-1.524781,0.0172454619079301,-0.0463223074408947
5.025359,0.283401,0.568915,-1.52414,0.0172643740177808,-0.0462517652293584
5.026108,0.283033,0.571414,-1.522863,0.0173020128098073,-0.0461112173198093
5.027605,0.282312,0.576403,-1.520327,0.0173773473352624,-0.0458346857011109
5.030418,0.281004,0.585748,-1.515627,0.0175184116640859,-0.0453290113072576
5.030418,0.281004,0.585748,-1.515627,0.0175184116640859,-0.0453290113072576
