time	V1
0.755	0.9854
0.76	0.9854
0.765	0.9854
0.77	0.9854
0.775	0.9854
0.78	0.9854
0.785	0.9854
0.79	0.9854
0.795	0.9854
0.8	0.9854
0.805	0.9854
0.81	0.9854
0.815	0.9854
0.82	0.9854
0.825	0.9854
0.83	0.9854
0.835	0.9854
0.84	0.9854
0.845	0.9854
0.85	0.9854
0.855	0.9854
0.86	0.9854
0.865	0.9854
0.87	0.9854
0.875	0.9854
0.88	0.9854
0.885	0.9854
0.89	0.9854
0.895	0.9854
0.9	0.9854
0.905	0.9854
0.91	0.9854
0.915	0.9854
0.92	0.9854
0.925	0.9854
0.93	0.9854
0.935	0.9854
0.94	0.9854
0.945	0.9854
0.95	0.9854
0.955	0.9854
0.96	0.9854
0.965	0.9854
0.97	0.9854
0.975	0.9854
0.98	0.9854
0.985	0.9854
0.99	0.9854
0.995	0.9854
1	0.9854
1	-0.5002
1.005	-0.5567
1.005	-0.5477
1.01	-0.556
1.01	-0.556
1.015	-0.5548
1.02	-0.5512
1.025	-0.547
1.03	-0.5427
1.035	-0.5386
1.04	-0.5346
1.045	-0.5307
1.05	-0.527
1.05	-0.527
1.055	-0.5234
1.06	-0.5199
1.065	-0.5166
1.07	-0.5134
1.075	-0.5103
1.08	-0.5073
1.085	-0.5044
1.09	-0.5017
1.095	-0.499
1.1	-0.4965
1.1	0.0407
1.105	0.4563
1.105	0.4563
1.11	0.6584
1.115	0.729
1.12	0.7608
1.125	0.7808
1.13	0.7959
1.13	0.7959
1.135	0.825
1.14	0.8594
1.145	0.8971
1.145	0.8971
1.15	0.9264
1.155	0.9499
1.155	0.9499
1.16	0.9636
1.165	0.975
1.17	0.9845
1.175	0.9923
1.18	0.9985
1.185	1.0033
1.19	1.0066
1.195	1.0087
1.2	1.0097
1.205	1.0095
1.21	1.0083
1.215	1.0061
1.22	1.003
1.225	0.9991
1.23	0.9945
1.235	0.9891
1.24	0.983
1.245	0.9763
1.25	0.969
1.255	0.9612
1.255	0.9639
1.26	0.9623
1.265	0.9622
1.27	0.9634
1.275	0.9658
1.28	0.969
1.285	0.9728
1.29	0.9772
1.295	0.9819
1.3	0.9869
1.305	0.9921
1.31	0.9974
1.315	1.0028
1.32	1.0083
1.325	1.0137
1.33	1.0192
1.33	1.0192
1.335	1.0247
1.34	1.0301
1.345	1.0356
1.35	1.0409
1.355	1.0463
1.36	1.0517
1.365	1.057
1.37	1.0623
1.375	1.0675
1.38	1.0728
1.385	1.078
1.39	1.0832
1.395	1.0884
1.4	1.0936
1.405	1.0989
1.41	1.1041
1.415	1.1093
1.42	1.1145
1.425	1.1197
1.43	1.125
1.435	1.1302
1.435	1.1287
1.44	1.1295
1.445	1.13
1.45	1.1305
1.455	1.1309
1.46	1.1311
1.465	1.1314
1.47	1.1315
1.475	1.1316
1.48	1.1316
1.485	1.1315
1.49	1.1314
1.495	1.1312
1.5	1.1309
1.505	1.1306
1.51	1.1303
1.515	1.1299
1.52	1.1294
1.525	1.1289
1.53	1.1284
1.535	1.1278
1.54	1.1272
1.545	1.1266
1.55	1.1259
1.555	1.1252
1.56	1.1245
1.565	1.1237
1.57	1.123
1.575	1.1222
1.58	1.1213
1.585	1.1205
1.59	1.1196
1.595	1.1187
1.6	1.1178
1.605	1.1169
1.61	1.116
1.615	1.115
1.62	1.1141
1.625	1.1131
1.63	1.1121
1.635	1.1111
1.64	1.1101
1.645	1.1091
1.65	1.1081
1.655	1.1071
1.66	1.1061
1.665	1.105
1.67	1.104
1.675	1.103
1.68	1.1019
1.685	1.1009
1.69	1.0998
1.695	1.0988
1.7	1.0977
1.705	1.0967
1.71	1.0956
1.715	1.0946
1.72	1.0936
1.725	1.0925
1.73	1.0915
1.735	1.0904
1.74	1.0894
1.745	1.0884
1.75	1.0873
1.755	1.0863
1.76	1.0853
1.765	1.0843
1.77	1.0833
1.775	1.0822
1.78	1.0812
1.785	1.0802
1.79	1.0792
1.795	1.0782
1.8	1.0773
1.805	1.0763
1.81	1.0753
1.815	1.0743
1.82	1.0734
1.825	1.0724
1.83	1.0715
1.835	1.0705
1.84	1.0696
1.845	1.0686
1.85	1.0677
1.855	1.0668
1.86	1.0659
1.865	1.065
1.87	1.0641
1.875	1.0632
1.88	1.0623
1.885	1.0615
1.89	1.0606
1.895	1.0597
1.9	1.0589
1.905	1.058
1.91	1.0575
1.915	1.0564
1.92	1.0555
1.925	1.0547
1.93	1.0542
1.935	1.0531
1.94	1.0522
1.945	1.0515
1.95	1.0509
1.955	1.05
1.96	1.0491
1.965	1.0484
1.97	1.0478
1.975	1.0469
1.98	1.0461
1.985	1.0454
1.99	1.0448
1.995	1.044
