id	N_static	indic_1	indic_2
165	119	0.009814	0.1335
166	116	0	0.1374
167	116	0	0.1374
168	116	0	0.1374
169	116	0	0.1374
170	116	0	0.1374
171	173	0.009038	0.09254
172	119	0.005494	0.1338
173	117	0.01155	0.1356
174	122	0.03529	0.1293
175	120	0.01495	0.1318
176	119	0.009817	0.1332
177	116	0	0.1374
178	116	0	0.1374
179	116	0	0.1374
180	137	0.01099	0.1159
181	119	0.005888	0.1337
182	143	0.07324	0.1106
183	116	0	0.1374
184	116	0	0.1374
185	106	0	0.1377
186	106	0	0.1377
187	106	0	0.1377
188	106	0	0.1377
189	106	0	0.1377
190	106	0	0.1377
191	106	0	0.1377
192	106	0	0.1377
193	106	0	0.1377
194	106	0	0.1377
195	106	0	0.1377
196	106	0	0.1377
197	106	0	0.1377
198	106	0	0.1377
199	106	0	0.1377
200	106	0	0.1377
201	106	0	0.1377
202	106	0	0.1377
203	107	0.02124	0.136
204	106	0	0.1377
205	106	0	0.1377
206	106	0	0.1377
207	106	0	0.1377
208	106	0	0.1377
209	106	0	0.1377
210	106	0	0.1377
211	106	0	0.1377
212	106	0	0.1377
213	106	0	0.1377
214	106	0	0.1377
215	106	0	0.1377
216	106	0	0.1377
217	106	0	0.1377
218	106	0	0.1377
219	100	0	0.1379
220	100	0	0.1379
221	100	0	0.1379
222	100	0	0.1379
223	100	0	0.1379
224	100	0	0.1379
225	100	0	0.1379
226	100	0	0.1379
227	100	0	0.1379
228	100	0	0.1379
229	100	0	0.1379
230	100	0	0.1379
231	100	0	0.1379
232	100	0	0.1379
233	103	0.0182	0.1306
234	107	0.05901	0.1241
235	98	0.008135	0.1374
236	98	0.008232	0.1373
237	99	0	0.1366
238	99	0	0.1366
239	99	0	0.1366
240	99	0	0.1366
241	99	0	0.1366
242	99	0	0.1366
243	99	0	0.1366
244	99	0	0.1366
245	99	0	0.1366
246	99	0	0.1366
247	108	0.0849	0.1085
248	95	0.02923	0.1308
249	92	0.03939	0.1316
250	91	0.03338	0.1334
251	104	0.07429	0.1133
252	90	0.007891	0.1373
253	100	0	0.1246
254	100	0	0.1246
255	100	0	0.1246
256	100	0	0.1246
257	100	0	0.1246
258	90	0.00833	0.1373
259	94	0.003611	0.1324
260	100	0	0.1246
261	100	0	0.1246
262	100	0	0.1246
263	100	0	0.1246
264	100	0	0.1246
265	100	0	0.1246
266	100	0	0.1246
267	100	0	0.1246
268	100	0	0.1246
269	100	0	0.1246
270	100	0	0.1246
271	100	0	0.1246
272	100	0	0.1246
273	100	0	0.1246
274	100	0	0.1246
275	100	0	0.1246
276	100	0	0.1246
277	100	0	0.1246
278	100	0	0.1246
279	126	0.06481	0.07265
280	69	0	0.1377
281	69	0	0.1377
282	69	0	0.1377
283	69	0	0.1377
284	69	0	0.1377
285	69	0	0.1377
286	69	0	0.1377
287	71	0.02891	0.133
288	69	0	0.1377
289	69	0	0.1377
290	69	0	0.1377
291	69	0	0.1377
292	69	0	0.1377
293	69	0	0.1377
294	69	0	0.1377
295	69	0	0.1377
296	69	0.01108	0.1371
297	69	0.002736	0.1375
298	69	0.01099	0.1369
299	69	0.02026	0.1359
300	69	0.009845	0.137
301	69	0	0.1377
302	69	0.0009003	0.1376
303	69	0	0.1377
304	69	0	0.1377
305	69	0	0.1377
306	69	0	0.1377
307	69	0	0.1377
308	69	0	0.1377
309	69	0	0.1377
310	69	0	0.1377
311	69	0	0.1377
312	69	0	0.1377
313	69	0	0.1377
314	69	0	0.1377
315	69	0	0.1377
316	69	0	0.1377
317	69	0	0.1377
318	69	0	0.1377
319	69	0	0.1377
320	69	0	0.1377
321	69	0	0.1377
322	69	0	0.1377
323	69	0	0.1377
324	69	0	0.1377
325	69	0	0.1377
326	69	0	0.1377
327	69	0	0.1377
328	69	0	0.1377
329	69	0	0.1377
330	69	0	0.1377
331	69	0	0.1377
332	69	0	0.1377
333	69	0	0.1377
334	69	0	0.1377
335	69	0	0.1377
336	69	0	0.1377
337	69	0	0.1377
338	69	0	0.1377
339	69	0	0.1377
340	69	0	0.1377
341	64	0	0.1359
342	64	0	0.1359
343	64	0	0.1359
344	64	0	0.1359
345	64	0	0.1359
346	64	0	0.1359
347	64	0	0.1359
348	64	0	0.1359
349	64	0	0.1359
350	64	0	0.1359
351	64	0	0.1359
352	64	0	0.1359
353	64	0	0.1359
354	64	0	0.1359
355	64	0	0.1359
356	64	0	0.1359
357	64	0	0.1359
358	64	0	0.1359
359	64	0	0.1359
360	64	0	0.1359
361	64	0	0.1359
362	64	0	0.1359
363	64	0	0.1359
364	64	0	0.1359
365	64	0	0.1359
366	64	0	0.1359
367	64	0.0006685	0.1358
368	64	0.0006968	0.1358
369	64	0	0.1359
370	63	0.01064	0.1368
371	63	0.01074	0.137
372	64	0	0.1359
373	63	0.004649	0.1376
374	63	0.006597	0.1373
375	64	0	0.1359
376	63	0.01269	0.1368
377	63	0.005245	0.1378
378	64	0	0.1359
379	63	0.004688	0.1375
380	63	0.005388	0.1374
381	58	0	0.136
382	58	0	0.136
383	58	0	0.136
384	58	0	0.136
385	58	0	0.136
386	58	0	0.136
387	58	0	0.136
388	58	0	0.136
389	58	0	0.136
390	58	0	0.136
391	62	0.002677	0.1273
392	62	0.002008	0.1273
393	59	0.004829	0.1333
394	59	0.004314	0.1334
395	58	0	0.136
396	58	0	0.136
397	58	0	0.136
398	58	0	0.136
399	58	0	0.136
400	58	0	0.136
401	58	0	0.136
402	58	0	0.136
403	58	0	0.136
404	58	0	0.136
405	58	0	0.136
406	58	0	0.136
407	67	0.004331	0.1179
408	58	0.006942	0.1354
409	57	0.01286	0.1363
410	57	0.008654	0.1375
411	58	0	0.136
412	58	0	0.136
413	58	0	0.136
414	58	0	0.136
415	58	0	0.136
416	58	0	0.136
417	58	0	0.136
418	58	0	0.136
419	58	0	0.136
420	58	0	0.136
421	58	0	0.136
422	58	0	0.136
423	58	0	0.136
424	61	0.005135	0.1292
425	60	0	0.1272
426	55	0.000671	0.1377
427	60	0	0.1272
428	55	0.0007866	0.1377
429	60	0	0.1272
430	55	0.0009605	0.1376
431	60	0	0.1272
432	55	0.0006746	0.1377
433	60	0	0.1272
434	55	0.0005792	0.1376
435	60	0	0.1272
436	55	0.0006084	0.1376
437	53	0.0008059	0.1329
438	52	0	0.1363
439	52	0	0.1363
440	69	0.09957	0.09533
441	53	0.0008694	0.1329
442	52	0	0.1363
443	52	0	0.1363
444	120	0.09451	0.05182
445	53	0.0007653	0.1329
446	52	0	0.1363
447	52	0	0.1363
448	52	0	0.1363
449	53	0.0007205	0.1329
450	52	0.006297	0.1358
451	52	0.000493	0.1362
452	55	0.05239	0.1269
453	52	0.0006707	0.1353
454	52	0	0.1363
455	52	0	0.1363
456	52	0	0.1363
457	51	0.000629	0.1379
458	52	0	0.1363
459	52	0	0.1363
460	52	0	0.1363
461	34	0	0.1373
462	40	0.08715	0.1067
463	34	0	0.1373
464	34	0	0.1373
465	34	0	0.1373
466	34	0	0.1373
467	46	0.1025	0.09186
468	34	0	0.1373
469	34	0	0.1373
470	34	0	0.1373
471	34	0.0009665	0.1373
472	34	0	0.1373
473	34	0	0.1373
474	34	0	0.1373
475	34	0	0.1373
476	34	0	0.1373
477	34	0	0.1373
478	34	0	0.1373
479	34	0	0.1373
480	34	0	0.1373
481	34	0	0.1373
482	34	0	0.1373
483	34	0	0.1373
484	34	0	0.1373
485	34	0	0.1373
486	34	0	0.1373
487	34	0	0.1373
488	34	0.004971	0.137
489	34	0	0.1373
490	34	0	0.1373
491	34	0	0.1373
492	34	0	0.1373
493	34	0	0.1373
494	34	0	0.1373
495	39	0.09616	0.09628
496	30	0	0.1377
497	30	0	0.1377
498	30	0	0.1377
499	30	0	0.1377
500	34	0.07781	0.1111
501	30	0	0.1377
502	30	0	0.1377
503	30	0	0.1377
504	30	0	0.1377
505	31	0.03003	0.1314
506	30	0	0.1377
507	30	0	0.1377
508	30	0	0.1377
509	30	0	0.1377
510	30	0	0.1377
511	30	0	0.1377
512	30	0	0.1377
513	30	0	0.1377
514	30	0	0.1377
515	30	0	0.1377
516	30	0	0.1377
517	30	0	0.1377
518	30	0	0.1377
519	30	0	0.1377
520	30	0	0.1377
521	30	0	0.1377
522	30	0	0.1377
523	30	0	0.1377
524	30	0	0.1377
525	23	0	0.1332
526	23	0	0.1332
527	24	0.05116	0.1235
528	23	0	0.1332
529	26	0.05456	0.1141
530	23	0	0.1332
531	23	0	0.1332
532	23	0	0.1332
533	23	0	0.1332
534	23	0	0.1332
535	23	0.04012	0.1296
536	23	0	0.1332
537	23	0	0.1332
538	23	0	0.1332
539	23	0	0.1332
540	23	0	0.1332
541	23	0	0.1332
542	23	0	0.1332
543	23	0	0.1332
544	23	0	0.1332
545	23	0	0.1332
546	23	0	0.1332
547	23	0	0.1332
548	23	0	0.1332
549	23	0	0.1332
550	23	0	0.1332
551	23	0	0.1332
552	23	0	0.1332
553	23	0	0.1332
554	23	0	0.1332
555	23	0	0.1332
556	23	0	0.1332
557	23	0	0.1332
558	23	0	0.1332
559	23	0	0.1332
560	23	0	0.1332
561	23	0	0.1332
562	23	0	0.1332
563	19	0	0.133
564	19	0	0.133
565	19	0	0.133
566	19	0	0.133
567	19	0	0.133
568	19	0	0.133
569	19	0	0.133
570	19	0	0.133
571	19	0.05122	0.1274
572	19	0	0.133
573	19	0	0.133
574	19	0	0.133
575	19	0	0.133
576	19	0	0.133
577	19	0	0.133
578	19	0	0.133
579	19	0	0.133
580	19	0	0.133
581	19	0	0.133
582	19	0	0.133
583	19	0	0.133
584	19	0	0.133
585	19	0	0.133
586	19	0	0.133
587	19	0	0.133
588	19	0	0.133
589	19	0	0.133
590	19	0	0.133
591	19	0	0.133
592	19	0	0.133
593	19	0	0.133
594	19	0	0.133
