A19	B8	color
-117.22488089962792	-47.16383571419937	0
-108.76767307221775	-13.390321614225606	2
-62.39380495821515	-18.466524255174896	0
-117.76928797715857	-18.848206463842704	2
-98.89994219912323	-32.22903421738019	0
-150.9500184086049	-29.76585602123786	1
-174.92693084526638	-19.681763707919657	1
-88.82169383985884	-16.430876225786058	0
-121.35781957348921	-14.784977207464786	2
-117.58867171449363	-28.10966697995878	0
-108.13108008261997	-12.115996820588705	0
-30.219475377494	-4.210556108275635	0
-41.40437366288426	-4.999115119038978	0
-147.29914289074625	-38.67432156455367	2
-11.661898403553176	-0.5351127732099655	0
-127.90052441018838	-26.178427606766487	2
-114.63951139108693	-22.566682645453113	0
-132.53059162991573	-25.015796818941705	2
-154.45133135062966	-26.620534569557424	2
-81.24130452640686	-26.894803616335672	0
-35.601307100685716	-3.863073728353248	0
-122.03704877108952	-30.538281597180333	2
-68.11986144170066	-20.0160987280632	0
-109.17575084606167	-10.338329460756201	2
-52.25518651439162	3.4813184016504484	0
-39.60365473367432	-2.280386472203799	0
-52.00625580365668	0.6890507025024768	0
-63.51103939964114	-3.8167805226302054	0
-49.56488252108112	-3.814821483921359	0
-76.7353199316901	-19.029149882840354	0
-128.81783016800608	-8.907994999887595	1
-122.89478378981123	-22.696226417873056	2
-67.01834274900068	-1.9475580517690276	0
-97.53542685578597	-16.50226140858133	0
-76.00030058365331	-25.531499446630708	0
-136.99698413065224	-19.37303866117743	2
-104.50018821884804	-16.568598923122146	0
-85.18960543137896	-22.075372993979162	0
-178.24917717440684	-20.060695890249136	1
-130.24115479274468	-21.644171219295817	2
-67.4590413558663	-7.7191412229526	2
-65.39216288559624	-13.47139665434096	0
-40.12523755665682	-0.08754808362870789	0
-158.58834487344564	-12.36359326249701	1
-71.30760057955473	-11.667309622312812	0
-39.91399960834972	-1.454861415585438	0
-59.78943378691034	-23.698770599188123	0
-124.739640150936	-24.669760789013342	0
-78.65831781727013	-13.902335323881251	0
-94.68531507287317	-15.809752048930426	0
7.8486036251919	-1.4434881941203035	0
-82.91019788963432	-18.225779543209264	0
-141.48581778217695	-45.29061063871306	2
-83.13271913679131	-5.774955876988623	0
-103.91742692822999	-21.37858347928674	2
-82.30111930440454	-17.705182029577312	0
-26.25619773090883	-0.4252699876811503	0
-74.87877635301962	-19.396752442714963	0
-101.90725801978746	-29.406277929653285	0
-71.08455173610953	-21.890941960857397	0
-97.61957599073418	-25.47291170518935	0
-77.17306994556375	10.48196129350968	0
-88.26648136959857	-2.195775003839575	0
-74.29978828951616	-18.987253751162488	0
-149.13607079575365	-17.66046305957486	1
-105.44206805329614	-3.128751708502663	2
-103.84450224200769	-17.727133874090978	2
-99.10175183651475	-20.13070556074644	0
-132.31581433965488	-19.17983666954074	1
-71.43673195943309	3.210471111873396	0
-76.22667915580904	-1.1848750413880178	0
-49.32302389104455	-9.507682311354348	0
-42.43856033913042	7.957745422380673	0
-98.86291193426653	-24.19819051158736	0
-41.138107196995996	-2.9286905522736317	0
-120.27140248373456	-44.55039240659473	0
-115.0073771685146	-23.82036192548516	0
-113.60384148424478	-20.97913652450424	0
-99.65680736431189	-23.815106634481516	1
-81.8154806554973	-4.473555067131825	0
-167.96886940275135	-40.898581697526204	1
-131.38928442173793	-22.638174853818324	0
-83.22872356207947	-25.823634338296603	0
-51.7090328750575	-4.936546761317893	0
-51.6077528504568	-18.476431561971307	0
-168.96012894190713	-25.46026488619841	1
-42.36483496426951	-12.60577214042453	0
-85.94573578135162	-23.84513406487064	0
-154.13682234911658	-26.2006991006597	2
-159.63314803200055	-9.729978501609098	1
-113.35611646742045	-2.869227464708255	2
-67.4812872742783	3.0587738402019244	0
-173.47847862076688	-11.800199919266555	1
-54.21319728644476	-21.03990893558085	0
-128.82773000435387	-28.667823278177924	2
-112.27123094718414	-40.86969772364373	0
