time_95	V1_95	time_5	V1_5
1.16	1.002761	0.88	1.002784
1.16	1.002761	0.885	1.002784
1.165	1.002761	0.885	1.002784
1.165	1.002761	0.89	1.002784
1.17	1.002761	0.89	1.002784
1.17	1.002761	0.895	1.002784
1.175	1.002762	0.895	1.002784
1.175	1.002762	0.9	1.002784
1.18	1.002762	0.9	1.002784
1.18	1.002762	0.905	1.002784
1.185	1.002762	0.905	1.002784
1.185	1.002762	0.91	1.002784
1.19	1.002762	0.91	1.002784
1.19	1.002762	0.915	1.002784
1.195	1.002762	0.915	1.002784
1.195	1.002762	0.92	1.002784
1.2	1.002762	0.92	1.002784
1.2	1.002762	0.925	1.002784
1.205	1.002762	0.925	1.002784
1.205	1.002762	0.93	1.002784
1.21	1.002762	0.93	1.002784
1.21	1.002762	0.935	1.002784
1.215	1.002763	0.935	1.002784
1.215	1.002763	0.94	1.002784
1.22	1.002763	0.94	1.002784
1.22	1.002763	0.945	1.002785
1.225	1.002763	0.945	1.002785
1.225	1.002763	0.95	1.002785
1.23	1.002763	0.95	1.002785
1.23	1.002763	0.955	1.002785
1.235	1.002763	0.955	1.002785
1.235	1.002763	0.96	1.002785
1.24	1.002763	0.96	1.002785
1.24	1.002763	0.965	1.002785
1.245	1.002763	0.965	1.002785
1.245	1.002763	0.97	1.002785
1.25	1.002764	0.97	1.002785
1.25	1.002764	0.975	1.002785
1.255	1.002764	0.975	1.002785
1.255	1.002764	0.98	1.002785
1.26	1.002764	0.98	1.002785
1.26	1.002764	0.985	1.002785
1.265	1.002764	0.985	1.002785
1.265	1.002764	0.99	1.002785
1.27	1.002764	0.99	1.002785
1.27	1.002764	0.995	1.002785
1.275	1.002764	0.995	1.002785
1.275	1.002764	1	1.002785
1.28	1.002764	1	1.002785
1.28	1.002764	1.005	1.002785
1.285	1.002764	1.005	1.002785
1.285	1.002764	1.01	1.002785
1.29	1.002765	1.01	1.002785
1.29	1.002765	1.015	1.002785
1.295	1.002765	1.015	1.002785
1.295	1.002765	1.02	1.002785
1.3	1.002765	1.02	1.002785
1.3	1.002765	1.025	1.002785
1.305	1.002765	1.025	1.002785
1.305	1.002765	1.03	1.002786
1.31	1.002765	1.03	1.002786
1.31	1.002765	1.035	1.002786
1.315	1.002765	1.035	1.002786
1.315	1.002765	1.04	1.002786
1.32	1.002765	1.04	1.002786
1.32	1.002765	1.045	1.002786
1.325	1.002765	1.045	1.002786
1.325	1.002765	1.05	1.002786
1.33	1.002766	1.05	1.002786
1.33	1.002766	1.055	1.002786
1.335	1.002766	1.055	1.002786
1.335	1.002766	1.06	1.002786
1.34	1.002766	1.06	1.002786
1.34	1.002766	1.065	1.002786
1.345	1.002766	1.065	1.002786
1.345	1.002766	1.07	1.002786
1.35	1.002766	1.07	1.002786
1.35	1.002766	1.075	1.002786
1.355	1.002766	1.075	1.002786
1.355	1.002766	1.08	1.002786
1.36	1.002766	1.08	1.002786
1.36	1.002766	1.085	1.002786
1.365	1.002766	1.085	1.002786
1.365	1.002766	1.09	1.002786
1.37	1.002767	1.09	1.002786
1.37	1.002767	1.095	1.002786
1.375	1.002767	1.095	1.002786
1.375	1.002767	1.1	1.002786
1.38	1.002767	1.1	1.002786
1.38	1.002767	1.105	1.002786
1.385	1.002767	1.105	1.002786
1.385	1.002767	1.11	1.002786
1.39	1.002767	1.11	1.002786
1.39	1.002767	1.115	1.002786
1.395	1.002767	1.115	1.002786
1.395	1.002767	1.12	1.002786
1.4	1.002767	1.12	1.002786
1.4	1.002767	1.125	1.002786
1.405	1.002767	1.125	1.002786
1.405	1.002767	1.13	1.002786
1.41	1.002767	1.13	1.002786
1.41	1.002767	1.135	1.002786
1.415	1.002768	1.135	1.002786
1.415	1.002768	1.14	1.002786
1.42	1.002768	1.14	1.002786
1.42	1.002768	1.145	1.002786
1.425	1.002768	1.145	1.002786
1.425	1.002768	1.15	1.002786
1.43	1.002768	1.15	1.002786
