time,_BUS___13-BUS___14-1_AC_side1_Distance_distance_UMonitoredPu,_BUS___13-BUS___14-1_AC_side1_Distance_distance_PMonitoredPu,_BUS___13-BUS___14-1_AC_side1_Distance_distance_QMonitoredPu,R,X
7.154805,1.062154,8.357832,1.476468,0.130898666579599,0.0231241418166156
7.157176,1.062095,8.333189,1.474258,0.131259601183357,0.0232216642537897
7.161918,1.061951,8.286386,1.469268,0.131947193288838,0.0233956985336074
7.171401,1.061561,8.202849,1.457085,0.133178357992298,0.0236566816913498
7.180884,1.061044,8.132871,1.442083,0.134208067562679,0.0237971526531026
7.190367,1.060407,8.076561,1.424423,0.135025551124042,0.0238137866610258
7.19985,1.05966,8.033946,1.404276,0.135623216833149,0.0237059632267366
7.209333,1.058811,8.00496,1.381817,0.135995896974619,0.0234756254084689
7.218817,1.057864,7.989453,1.357221,0.136140445637724,0.0231270741274625
7.2283,1.056827,7.987191,1.330663,0.136057958021106,0.0226672043518478
7.247266,1.054502,8.020704,1.272526,0.135233977113169,0.0214555669876251
7.266232,1.051851,8.102186,1.208616,0.133582079708796,0.0199266517516787
7.285199,1.048884,8.227408,1.140103,0.131199241606987,0.0181807744254146
7.304165,1.0456,8.391442,1.068062,0.128208047465805,0.0163183090096342
7.321235,1.042375,8.568136,1.000933,0.125105061677412,0.014614822255384
7.338305,1.038881,8.767464,0.932412,0.121723170810933,0.0129451509743483
7.355374,1.035112,8.98467,0.863106,0.118163437084012,0.0113512874182172
7.372444,1.031085,9.215863,0.793403,0.114510669362931,0.00985833975663024
7.389514,1.026804,9.456578,0.723791,0.110842003700156,0.00848366551834495
7.406583,1.022281,9.702515,0.65471,0.10722184030414,0.00723515614925854
7.423653,1.017543,9.949739,0.586546,0.103702017672089,0.00611332655635423
7.440723,1.012622,10.194621,0.519687,0.100322081155848,0.00511407745218179
7.457793,1.007563,10.433877,0.454524,0.0971125458392252,0.00423044883364333
7.474862,1.002416,10.664639,0.391456,0.0940946816607313,0.0034538372751467
7.491932,0.997241,10.884493,0.330901,0.09128319750983,0.00277511330469873
7.509002,0.992106,11.091497,0.273299,0.0886874942163314,0.0021852959507476
7.526071,0.987083,11.284151,0.21911,0.0863127075818172,0.00167597698384681
7.543141,0.982246,11.461353,0.168818,0.0841609129454218,0.00123963348843895
7.560211,0.977677,11.622413,0.122929,0.082232957690279,0.000869769062234177
7.577281,0.973451,11.766998,0.081942,0.0805269873457796,0.000560766849547172
7.59435,0.969668,11.896018,0.046361,0.0790383597077522,0.000308027223429815
7.61142,0.966353,12.007508,0.016708,0.0777710339684546,0.000108215496133331
7.628002,0.963661,12.099942,-0.006005,0.0767476649226102,-3.80885898345855E-05
7.628002,0.963664,12.100074,-0.005995,0.0767473055899253,-3.80245688589675E-05
7.62827,0.963625,12.101446,-0.006313,0.0767323911473439,-4.0029231656546E-05
7.628538,0.963586,12.102814,-0.006628,0.0767175056089764,-4.20136694801966E-05
7.629074,0.963509,12.10554,-0.007256,0.076687967620521,-4.59663834124294E-05
7.630146,0.963356,12.110945,-0.008492,0.0766293898989574,-5.37312966925327E-05
7.63229,0.963057,12.121566,-0.010882,0.0765147042685778,-6.86902180667632E-05
7.636579,0.96249,12.142041,-0.015333,0.0762957004362449,-9.63464029473252E-05
7.637357,0.962392,12.145644,-0.016092,0.0762575237515233,-0.000101035076625786
7.637357,0.962392,12.145644,-0.016092,0.0762575237515233,-0.000101035076625786
7.637616,0.962359,12.146835,-0.016342,0.0762448134479849,-0.000102577563733019
7.637875,0.962327,12.148024,-0.016589,0.0762322767886576,-0.000104100653706894
7.638394,0.962263,12.150392,-0.017081,0.0762072739090553,-0.000107132053487704
7.639431,0.962136,12.155084,-0.018045,0.0761577330366248,-0.000113061028014771
7.641504,0.961889,12.164293,-0.019895,0.0760609739827158,-0.000124399591278024
7.645651,0.961425,12.182002,-0.023279,0.0758770730181745,-0.00014499606737793
7.653946,0.960617,12.214586,-0.028763,0.0755473745704322,-0.000177899532147004
7.670535,0.959492,12.268464,-0.034474,0.0750393552882425,-0.000210858240624651
7.687125,0.95904,12.307436,-0.033048,0.0747313323335877,-0.00020066901594779
7.703714,0.959276,12.331502,-0.024361,0.0746224468796887,-0.000147417356655831
7.720303,0.960205,12.340502,-0.008372,0.0747127805399334,-5.06863820191693E-05
7.736892,0.961817,12.334116,0.014876,0.0750025859828845,9.04595407633097E-05
7.753481,0.964091,12.311889,0.045233,0.0754927948648941,0.000277355131298191
7.770071,0.966995,12.273261,0.082442,0.0761848982410928,0.000511749516350396
7.78666,0.970482,12.217606,0.126131,0.0770801532804737,0.000795753015232234
7.80159,0.974076,12.152517,0.170561,0.0780609637601457,0.00109558834930198
7.81652,0.978047,12.072617,0.219474,0.0792089980362661,0.0014399790563232
7.829434,0.981747,11.991312,0.265004,0.0803378873940439,0.00177544054486875
7.840566,0.985104,11.911994,0.306361,0.0814127695817043,0.00209383059644091
7.851699,0.988586,11.824088,0.349377,0.0825814018009856,0.00244010721309102
7.862831,0.992166,11.727636,0.393765,0.0838434002720764,0.00281511094888468
7.873963,0.995816,11.622735,0.439226,0.085198135222423,0.00321965837999438
7.881425,0.998287,11.547789,0.470126,0.0861574390936221,0.00350758506336825
7.881425,0.998287,11.547788,0.470122,0.0861574489558096,0.00350755592482327
7.88152,0.998319,11.546803,0.470522,0.0861700556161222,0.00351135348101194
7.881616,0.99835,11.545817,0.470921,0.0861824996738549,0.00351513876661231
7.881807,0.998414,11.543842,0.471718,0.0862077620031271,0.00352272259760582
7.88219,0.998541,11.539886,0.473315,0.0862581808937079,0.00353792844138195
7.882955,0.998796,11.531945,0.476509,0.0863595043779525,0.00356844236350709
7.884485,0.999306,11.51595,0.482904,0.0865633826148969,0.00362990493344137
7.887546,1.000326,11.483505,0.495718,0.0869761364480475,0.00375457113553338
7.893667,1.002367,11.416832,0.521415,0.0878219337672182,0.00401089142725706
7.899485,1.004301,11.351345,0.545855,0.0886497205009757,0.00426292154665902
7.899485,1.004301,11.351349,0.545859,0.0886496864092108,0.00426294964357499
7.899607,1.004342,11.34996,0.546369,0.0886673418784707,0.00426830463850077
7.899728,1.004382,11.348566,0.546881,0.0886848621289921,0.00427367352720734
7.899971,1.004463,11.345775,0.547906,0.0887201137383835,0.00428443915360059
7.900458,1.004625,11.340184,0.549954,0.0887907364875232,0.00430599897622996
7.901431,1.004949,11.328957,0.554051,0.0889325250886791,0.00434931074925147
7.903377,1.005595,11.306335,0.562244,0.0892178435245278,0.00443664522717614
7.907269,1.006885,11.26042,0.578617,0.0897966104171984,0.00461420136458215
